Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
01F96B	0153C3
01F96C	01585E
01F96D	017701
01F96E	018449
01F96F	018AAA
01F970	016BBA
01F971	018FB0
01F972	016C88
01F973	0162FE
01F974	0182E5
01F975	0163A0
01F976	017565
01F977	014EAE
01F978	015169
01F979	0151C9
01F97A	016881
01F97B	017CE7
01F97C	01826F
01F97D	018AD2
01F97E	0191CF
01F97F	0152F5
01F980	015442
01F981	015973
01F982	015EEC
01F983	0165C5
01F984	016FFE
01F985	01792A
01F986	0195AD
01F987	019A6A
01F988	019E97
01F989	019ECE
01F98A	01529B
01F98B	0166C6
01F98C	016B77
01F98D	018F62
01F98E	015E74
01F98F	016190
01F990	016200
01F991	01649A
01F992	016F23
01F993	017149
01F994	017489
01F995	0179CA
01F996	017DF4
01F997	01806F
01F998	018F26
01F999	0184EE
01F99A	019023
01F99B	01934A
01F99C	015217
01F99D	0152A3
01F99E	0154BD
01F99F	0170C8
01F9A0	0188C2
01F9A1	018AAA
01F9A2	015EC9
01F9A3	015FF5
01F9A4	01637B
01F9A5	016BAE
01F9A6	017C3E
01F9A7	017375
01F9A8	014EE4
01F9A9	0156F9
01F9AA	015BE7
01F9AB	015DBA
01F9AC	01601C
01F9AD	0173B2
01F9AE	017469
01F9AF	017F9A
01F9B0	018046
01F9B1	019234
01F9B2	0196F6
01F9B3	019748
01F9B4	019818
01F9B5	014F8B
01F9B6	0179AE
01F9B7	0191B4
01F9B8	0196B8
01F9B9	0160E1
01F9BA	014E86
01F9BB	0150DA
01F9BC	015BEE
01F9BD	015C3F
01F9BE	016599
01F9BF	016A02
01F9C0	0171CE
01F9C1	017642
01F9C2	0184FC
01F9C3	01907C
01F9C4	019F8D
01F9C5	016688
01F9C6	01962E
01F9C7	015289
01F9C8	01677B
